ID,Player,Pos,Age,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
abdulka01,Kareem Abdul-Jabbar,C,40,LAL,80,28.9,6.0,11.3,0.532,0.0,0.0,0.0,6.0,11.3,0.532,0.532,2.6,3.4,0.0,1.5,4.5,6.0,1.7,0.6,1.2,2.0,2.7,14.6,15.8,0.57,0.001,0.298,6.1,16.9,11.7,8.4,1.0,2.2,13.5,21.4,2.6,2.7,5.3,0.111,-0.1,0.1,0.0,1.2
acresma01,Mark Acres,C,25,BOS,79,14.6,1.4,2.6,0.532,0.0,0.0,0.0,1.4,2.6,0.532,0.532,0.9,1.4,0.0,1.3,2.1,3.4,0.5,0.4,0.3,0.7,2.5,3.6,9.3,0.57,0.0,0.547,11.6,15.9,13.9,4.5,1.2,1.3,17.7,11.4,1.1,1.0,2.2,0.09,-2.6,-0.2,-2.8,-0.2
adamsal01,Alvan Adams,C,33,PHO,82,20.1,3.1,6.2,0.496,0.0,0.0,0.5,3.0,6.1,0.496,0.497,1.3,1.6,0.5,1.4,3.0,4.5,2.2,1.0,0.5,1.7,3.0,7.5,13.1,0.543,0.004,0.253,8.0,17.0,12.5,14.9,2.4,1.4,19.9,17.4,0.6,1.6,2.2,0.064,-1.5,1.0,-0.5,0.6
adamsmi01,Michael Adams,PG,25,DEN,82,33.9,5.1,11.3,0.449,1.7,4.6,0.367,3.4,6.7,0.505,0.524,2.0,2.4,0.367,0.5,2.2,2.7,6.1,2.0,0.2,1.8,1.7,13.9,15.6,0.56,0.409,0.215,1.5,7.2,4.2,22.5,2.8,0.3,12.4,16.2,4.4,3.2,7.5,0.13,1.5,0.9,2.5,3.1
aguirma01,Mark Aguirre,SF,28,DAL,77,33.9,9.7,20.4,0.475,0.7,2.2,0.302,9.0,18.2,0.496,0.491,5.0,6.5,0.302,2.4,3.3,5.6,3.6,0.9,0.7,2.6,2.9,25.1,21.9,0.539,0.109,0.321,7.7,10.3,9.0,18.4,1.3,1.3,10.2,31.6,6.5,2.3,8.8,0.163,4.6,-0.8,3.8,3.9
aingeda01,Danny Ainge,SG,28,BOS,81,37.3,6.0,12.1,0.491,1.8,4.4,0.415,4.1,7.7,0.534,0.566,2.0,2.2,0.415,0.7,2.3,3.1,6.2,1.4,0.2,1.9,2.5,15.7,15.9,0.598,0.364,0.183,2.5,7.0,4.9,22.2,1.9,0.3,12.6,17.3,6.7,1.9,8.6,0.136,2.7,-0.3,2.4,3.3
alarima01,Mark Alarie,PF,24,WSB,63,12.2,2.3,4.8,0.48,0.1,0.3,0.222,2.2,4.5,0.496,0.487,0.6,0.8,0.222,1.1,1.4,2.5,0.6,0.2,0.2,0.8,1.7,5.2,11.6,0.508,0.06,0.163,10.1,13.2,11.6,7.7,0.6,0.9,13.5,19.9,0.3,0.6,0.9,0.058,-1.9,-1.3,-3.2,-0.2
andergr01,Greg Anderson,PF,23,SAS,82,24.2,4.6,9.2,0.501,0.0,0.1,0.2,4.6,9.2,0.503,0.502,2.4,4.0,0.2,2.0,4.3,6.3,1.0,0.7,1.5,1.7,2.8,11.7,14.7,0.531,0.007,0.434,8.7,19.4,14.0,5.3,1.3,3.4,13.7,20.8,0.8,1.5,2.3,0.056,-1.6,-1.1,-2.7,-0.4
anderri01,Richard Anderson,PF,27,TOT,74,18.2,2.3,5.9,0.39,0.6,2.0,0.32,1.7,3.9,0.426,0.444,0.8,1.0,0.32,1.2,2.9,4.1,1.5,0.7,0.2,0.8,1.9,6.1,11.1,0.474,0.342,0.175,7.3,17.0,12.1,10.4,1.8,0.7,11.4,15.6,0.7,1.6,2.3,0.082,-0.7,0.1,-0.6,0.5
anderro01,Ron Anderson,SF,29,IND,74,14.8,2.9,5.9,0.498,0.0,0.0,0.0,2.9,5.9,0.5,0.498,1.5,1.9,0.0,1.2,1.7,2.9,1.1,0.6,0.1,1.0,1.3,7.3,16.2,0.544,0.005,0.323,8.9,12.6,10.8,10.5,1.8,0.3,12.8,22.0,1.3,1.2,2.5,0.108,0.9,-0.3,0.6,0.7
baglejo01,John Bagley,PG,27,NJN,82,33.8,4.8,10.9,0.439,0.6,2.0,0.292,4.2,9.0,0.471,0.465,1.8,2.2,0.292,0.7,2.4,3.1,5.8,1.3,0.1,2.5,2.0,12.0,12.4,0.503,0.18,0.201,2.5,8.5,5.4,25.8,1.9,0.2,17.1,17.9,0.8,1.7,2.6,0.044,-0.7,-0.7,-1.4,0.4
baileja01,James Bailey,PF,30,PHO,65,13.4,1.7,3.7,0.452,0.0,0.1,0.0,1.7,3.6,0.46,0.452,1.1,1.4,0.0,1.1,2.1,3.2,0.6,0.3,0.4,1.1,2.8,4.4,8.3,0.514,0.017,0.369,9.4,17.9,13.6,6.2,0.9,1.9,20.0,16.4,-0.2,0.6,0.4,0.023,-5.1,-0.7,-5.7,-0.8
baileth01,Thurl Bailey,SF,26,UTA,82,34.2,7.7,15.7,0.492,0.0,0.0,0.333,7.7,15.6,0.493,0.493,4.1,5.0,0.333,1.6,4.8,6.5,1.9,0.6,1.5,2.3,2.3,19.6,16.3,0.547,0.002,0.317,5.4,14.6,10.2,8.6,0.8,2.6,11.5,24.2,2.7,4.1,6.8,0.116,0.3,-0.1,0.2,1.6
barklch01,Charles Barkley,PF,24,PHI,80,39.6,9.4,16.0,0.587,0.6,2.0,0.28,8.9,14.1,0.63,0.604,8.9,11.9,0.28,4.8,7.1,11.9,3.2,1.3,1.3,3.8,3.5,28.3,27.6,0.665,0.122,0.741,14.0,20.8,17.4,14.1,1.6,1.9,15.2,26.7,13.4,3.3,16.7,0.253,7.3,0.1,7.4,7.5
battljo01,John Battle,SG,25,ATL,67,18.3,4.1,9.1,0.454,0.2,0.6,0.39,3.9,8.5,0.458,0.467,2.1,2.8,0.39,0.4,1.3,1.7,2.4,0.5,0.1,1.1,1.3,10.6,16.3,0.512,0.067,0.307,2.3,7.9,5.1,20.0,1.3,0.2,9.7,26.4,1.5,0.8,2.3,0.092,1.4,-1.0,0.4,0.7
bedfowi01,William Bedford,C,24,DET,38,7.8,1.2,2.7,0.436,0.0,0.0,0.0,1.2,2.7,0.436,0.436,0.3,0.6,0.0,0.7,1.0,1.7,0.1,0.2,0.4,0.5,1.2,2.7,9.0,0.454,0.0,0.228,10.4,13.9,12.2,1.8,1.3,3.3,14.6,18.2,-0.2,0.5,0.2,0.039,-4.4,0.6,-3.8,-0.1
benjabe01,Benoit Benjamin,C,23,LAC,66,32.9,5.2,10.5,0.491,0.0,0.1,0.0,5.2,10.4,0.496,0.491,2.7,3.9,0.0,1.7,6.3,8.0,2.6,0.8,3.4,3.4,3.1,13.0,14.1,0.534,0.012,0.368,5.3,21.2,13.0,12.2,1.1,5.9,21.7,19.3,-1.4,3.5,2.0,0.045,-2.8,2.8,-0.1,1.0
berrywa01,Walter Berry,SF,23,SAS,73,26.3,7.4,13.2,0.563,0.0,0.0,0.0,7.4,13.2,0.563,0.563,2.6,4.4,0.0,2.4,3.0,5.4,1.5,0.8,0.9,2.2,2.8,17.4,18.8,0.578,0.0,0.333,9.8,12.4,11.1,8.7,1.3,1.8,12.8,25.9,2.7,0.7,3.4,0.086,1.6,-2.0,-0.4,0.8
birdla01,Larry Bird,SF,31,BOS,76,39.0,11.6,22.0,0.527,1.3,3.1,0.414,10.3,18.9,0.546,0.556,5.5,6.0,0.414,1.4,7.8,9.3,6.1,1.6,0.8,2.8,2.1,29.9,27.8,0.608,0.142,0.271,4.6,22.3,14.0,25.7,2.1,1.1,10.2,30.2,11.2,3.8,15.0,0.243,7.8,1.0,8.8,8.1
birdsot01,Otis Birdsong,SG,32,NJN,67,28.1,5.0,11.0,0.458,0.1,0.4,0.36,4.9,10.6,0.461,0.464,0.7,1.4,0.36,1.1,1.4,2.5,3.3,0.8,0.2,1.9,2.1,10.9,10.4,0.47,0.034,0.125,4.3,6.0,5.1,18.7,1.4,0.4,14.2,20.3,-0.9,0.8,-0.1,-0.003,-2.0,-1.4,-3.4,-0.7
blabuw01,Uwe Blab,C,25,DAL,73,9.0,0.8,1.8,0.439,0.0,0.0,0.0,0.8,1.8,0.439,0.439,0.6,0.9,0.0,0.7,1.1,1.8,0.5,0.1,0.4,0.7,1.5,2.2,7.4,0.504,0.0,0.492,8.7,13.3,11.1,6.9,0.6,2.5,23.4,13.2,-0.1,0.6,0.5,0.036,-4.7,0.3,-4.5,-0.4
blackro01,Rolando Blackman,SG,28,DAL,71,36.3,7.0,14.8,0.473,0.0,0.1,0.0,7.0,14.7,0.476,0.473,4.7,5.3,0.0,1.2,2.3,3.5,3.7,0.9,0.3,2.0,1.6,18.7,16.0,0.544,0.005,0.361,3.5,6.8,5.2,15.1,1.2,0.4,10.6,21.8,5.1,1.6,6.8,0.126,1.0,-0.8,0.2,1.4
boguemu01,Muggsy Bogues,PG,23,WSB,79,20.6,2.1,5.4,0.39,0.0,0.2,0.188,2.1,5.2,0.398,0.393,0.7,0.9,0.188,0.4,1.3,1.7,5.1,1.6,0.0,1.3,1.7,5.0,12.7,0.429,0.038,0.174,2.4,7.0,4.7,33.5,3.8,0.1,18.0,14.2,0.2,2.1,2.3,0.066,-1.0,1.9,0.9,1.2
bolma01,Manute Bol,C,25,WSB,77,14.8,1.0,2.1,0.455,0.0,0.0,0.0,1.0,2.1,0.457,0.455,0.3,0.6,0.0,0.9,2.6,3.6,0.2,0.1,2.7,0.5,2.1,2.3,10.8,0.472,0.006,0.297,7.0,20.2,13.5,1.5,0.5,10.6,15.8,8.0,-0.1,2.1,2.0,0.085,-3.4,4.5,1.1,0.9
bradldu01,Dudley Bradley,SG,30,TOT,65,22.1,2.4,5.6,0.427,0.6,1.6,0.363,1.8,4.0,0.452,0.478,1.1,1.5,0.363,0.4,1.6,2.0,2.3,1.8,0.7,1.4,2.6,6.5,11.4,0.519,0.279,0.266,1.9,8.5,5.1,15.0,3.9,1.8,17.8,14.6,0.1,1.8,1.9,0.064,-2.2,3.1,0.8,1.0
breuera01,Randy Breuer,C,27,MIL,81,27.9,4.8,9.7,0.495,0.0,0.0,0.0,4.8,9.7,0.495,0.495,2.3,3.5,0.0,2.4,4.4,6.8,1.3,0.6,1.3,1.3,2.4,12.0,15.3,0.53,0.0,0.363,9.5,18.0,13.7,6.7,1.0,2.8,10.5,19.0,2.4,2.8,5.1,0.109,-0.1,0.0,-0.1,1.1
brickfr01,Frank Brickowski,C,28,SAS,70,31.8,6.1,11.5,0.528,0.0,0.1,0.2,6.1,11.4,0.53,0.529,3.8,5.0,0.2,2.4,4.5,6.9,3.8,1.1,0.5,3.0,3.9,16.0,16.0,0.584,0.006,0.434,8.0,15.5,11.7,16.0,1.5,0.9,17.8,20.7,3.0,1.1,4.1,0.088,0.3,-0.9,-0.6,0.8
brownmi01,Mike Brown,C,24,CHI,46,12.8,1.7,3.8,0.448,0.0,0.0,0.0,1.7,3.8,0.451,0.448,0.9,1.5,0.0,1.4,2.0,3.5,0.6,0.2,0.1,0.8,1.8,4.3,10.0,0.48,0.006,0.408,12.9,17.9,15.4,6.5,0.9,0.4,15.6,17.7,0.0,0.7,0.7,0.058,-3.9,-1.6,-5.5,-0.5
cagemi01,Michael Cage,PF,26,LAC,72,36.9,5.0,10.6,0.47,0.0,0.0,0.0,5.0,10.6,0.471,0.47,4.5,6.6,0.0,5.2,7.9,13.0,1.5,1.3,0.8,2.2,2.7,14.5,16.4,0.537,0.001,0.619,14.3,23.5,18.8,6.2,1.6,1.2,14.1,17.3,2.9,3.8,6.7,0.121,0.0,-0.6,-0.6,0.9
carran01,Antoine Carr,PF,26,ATL,80,18.5,3.5,6.5,0.544,0.0,0.1,0.25,3.5,6.4,0.546,0.544,1.8,2.3,0.25,1.2,2.4,3.6,1.3,0.5,1.0,1.5,3.4,8.8,15.5,0.59,0.008,0.352,7.0,14.7,10.8,10.2,1.3,3.4,16.3,20.2,2.0,1.8,3.8,0.122,-1.0,1.3,0.3,0.9
carrojo01,Joe Barry Carroll,C,29,TOT,77,26.0,5.2,12.0,0.435,0.0,0.0,0.0,5.2,12.0,0.436,0.435,2.2,2.9,0.0,1.7,4.6,6.4,1.5,0.6,1.4,2.1,2.5,12.7,13.6,0.477,0.002,0.244,6.9,18.9,12.9,8.3,1.2,3.0,13.8,23.8,-1.1,2.7,1.6,0.039,-2.2,0.1,-2.2,-0.1
cartwbi01,Bill Cartwright,C,30,NYK,82,20.4,3.5,6.4,0.544,0.0,0.0,0.0,3.5,6.4,0.544,0.544,4.1,5.2,0.0,1.5,3.1,4.7,1.0,0.5,0.5,1.6,2.9,11.1,17.8,0.639,0.0,0.807,8.4,18.1,13.1,7.5,1.2,1.6,15.9,20.6,4.3,2.1,6.4,0.183,1.5,0.5,2.0,1.7
catlete01,Terry Catledge,PF,24,WSB,70,23.0,4.2,8.4,0.506,0.0,0.0,0.0,4.2,8.3,0.508,0.506,2.2,3.4,0.0,2.6,3.1,5.7,0.9,0.5,0.1,1.4,2.5,10.7,14.7,0.542,0.003,0.402,12.4,15.2,13.8,5.9,1.0,0.3,12.8,20.2,2.0,1.5,3.5,0.103,0.0,-1.6,-1.6,0.1
chambto01,Tom Chambers,PF,28,SEA,82,32.7,7.5,16.6,0.448,0.4,1.3,0.303,7.0,15.3,0.461,0.46,5.1,6.3,0.303,1.6,4.3,6.0,2.6,1.1,0.6,2.5,3.6,20.4,16.8,0.526,0.08,0.38,5.5,15.3,10.3,11.9,1.6,1.2,11.6,27.0,3.7,2.7,6.4,0.114,0.8,-0.8,0.0,1.3
cheekma01,Maurice Cheeks,PG,31,PHI,79,36.3,5.4,10.9,0.495,0.0,0.3,0.136,5.4,10.7,0.504,0.497,2.9,3.5,0.136,0.7,2.5,3.2,8.0,2.1,0.3,2.0,1.5,13.7,18.0,0.551,0.025,0.318,2.4,7.9,5.1,33.6,2.9,0.5,14.0,16.9,6.1,2.2,8.3,0.138,2.6,0.8,3.4,3.9
colembe01,Ben Coleman,PF,26,TOT,70,21.4,3.2,6.5,0.499,0.0,0.0,0.0,3.2,6.4,0.502,0.499,2.0,2.6,0.0,1.7,3.3,5.0,0.9,0.6,0.6,1.8,3.3,8.5,12.0,0.555,0.007,0.408,8.8,18.5,13.5,6.4,1.4,1.6,19.2,18.6,0.4,1.4,1.8,0.058,-2.8,-0.3,-3.1,-0.4
coltest01,Steve Colter,PG,25,TOT,68,22.3,3.0,6.5,0.46,0.0,0.1,0.3,2.9,6.3,0.464,0.464,1.1,1.4,0.3,0.9,1.7,2.5,3.8,0.9,0.2,1.3,1.9,7.1,12.8,0.501,0.023,0.215,4.3,8.6,6.4,24.4,2.0,0.5,15.4,15.6,1.2,1.4,2.6,0.081,-0.4,0.7,0.4,0.9
comegda01,Dallas Comegys,PF,23,NJN,75,15.0,2.1,4.8,0.43,0.0,0.0,0.0,2.1,4.8,0.431,0.43,1.4,2.0,0.0,0.7,2.2,2.9,0.9,0.5,0.9,1.5,2.3,5.6,9.5,0.487,0.003,0.413,5.4,17.5,11.3,8.6,1.6,3.8,21.3,20.5,-1.6,1.3,-0.3,-0.012,-5.0,0.9,-4.2,-0.6
connele01,Lester Conner,PG,28,HOU,52,7.7,1.0,2.1,0.463,0.0,0.1,0.0,1.0,1.9,0.495,0.463,0.6,0.8,0.0,0.4,0.3,0.7,1.1,0.7,0.0,0.6,0.6,2.5,13.6,0.524,0.065,0.38,5.3,4.7,5.0,19.6,4.5,0.1,20.7,16.0,0.1,0.6,0.7,0.09,-1.5,3.1,1.6,0.4
cookje01,Jeff Cook,PF,31,PHO,33,10.9,0.4,1.8,0.237,0.0,0.0,0.0,0.4,1.8,0.241,0.237,0.7,0.8,0.0,1.1,2.1,3.2,0.4,0.3,0.2,0.4,1.9,1.5,5.7,0.358,0.017,0.475,11.5,21.8,16.6,4.5,1.2,1.3,16.4,9.7,-0.2,0.3,0.1,0.017,-4.6,-0.8,-5.4,-0.3
coopemi01,Michael Cooper,SG,31,LAL,61,29.4,3.1,7.9,0.392,0.9,2.9,0.32,2.2,5.0,0.434,0.451,1.6,1.9,0.32,0.8,2.9,3.7,4.7,1.1,0.4,1.7,2.2,8.7,11.6,0.5,0.369,0.234,3.3,10.7,7.2,20.2,1.8,0.8,16.0,14.7,1.3,1.8,3.1,0.082,-0.1,0.9,0.8,1.3
coopewa01,Wayne Cooper,C,31,DEN,45,19.2,2.6,6.0,0.437,0.0,0.0,0.0,2.6,6.0,0.439,0.437,1.1,1.5,0.0,2.2,3.8,6.0,0.7,0.3,2.1,1.3,3.2,6.4,11.7,0.477,0.004,0.248,11.5,21.7,16.4,4.2,0.6,6.2,16.5,16.1,-0.2,1.4,1.2,0.068,-3.9,0.7,-3.2,-0.3
corbity01,Tyrone Corbin,SF,25,TOT,84,20.7,3.1,6.3,0.49,0.0,0.1,0.167,3.0,6.2,0.493,0.49,1.3,1.6,0.167,1.5,2.7,4.2,1.4,0.9,0.2,1.2,2.2,7.4,12.4,0.534,0.011,0.263,8.6,14.6,11.7,9.2,2.0,0.6,15.1,16.6,1.1,1.9,3.0,0.082,-1.3,0.0,-1.3,0.3
corzida01,Dave Corzine,C,31,CHI,80,29.1,4.3,8.9,0.481,0.0,0.1,0.111,4.3,8.8,0.486,0.482,1.4,1.9,0.111,2.1,4.5,6.6,1.9,0.5,1.2,1.4,1.9,10.1,13.6,0.514,0.013,0.214,8.4,17.5,13.0,9.2,0.8,2.5,12.2,16.4,1.9,3.0,4.9,0.101,-0.4,0.1,-0.3,1.0
cummipa01,Pat Cummings,PF,31,NYK,62,15.3,2.3,5.0,0.456,0.0,0.0,0.0,2.3,4.9,0.458,0.456,1.0,1.3,0.0,1.3,2.5,3.8,0.6,0.3,0.2,1.0,2.3,5.5,9.6,0.495,0.003,0.261,9.6,19.1,14.2,5.6,1.0,0.7,16.0,17.5,0.0,1.1,1.1,0.055,-3.2,-0.5,-3.7,-0.4
cummite01,Terry Cummings,PF,26,MIL,76,34.6,8.9,18.3,0.485,0.0,0.0,0.333,8.9,18.3,0.485,0.485,3.6,5.3,0.333,2.4,4.9,7.3,2.4,1.0,0.6,2.2,3.6,21.3,17.4,0.516,0.002,0.292,7.9,15.8,11.8,11.6,1.5,1.0,9.8,27.9,2.2,2.9,5.2,0.094,0.7,-0.7,-0.1,1.3
curetea01,Earl Cureton,PF,30,LAC,69,16.3,1.9,4.5,0.429,0.0,0.0,0.0,1.9,4.4,0.433,0.429,0.5,0.9,0.0,1.4,2.5,3.9,0.9,0.5,0.5,0.8,2.0,4.3,9.2,0.443,0.01,0.203,8.8,17.0,12.8,8.1,1.4,1.8,14.7,14.3,-0.6,1.3,0.7,0.029,-4.1,0.2,-4.0,-0.6
curryde01,Dell Curry,SG,23,CLE,79,19.0,4.3,9.4,0.458,0.4,1.0,0.346,3.9,8.4,0.472,0.477,1.0,1.3,0.346,0.5,1.6,2.1,1.9,1.2,0.3,1.4,1.6,10.0,15.1,0.5,0.109,0.136,3.5,9.4,6.5,16.3,3.1,0.9,12.1,25.5,0.0,2.0,2.0,0.064,-0.8,0.7,-0.2,0.7
dailequ01,Quintin Dailey,SG,27,LAC,67,19.1,4.9,11.3,0.434,0.0,0.2,0.167,4.9,11.1,0.439,0.436,3.6,4.7,0.167,0.9,1.4,2.3,1.6,1.0,0.1,1.8,1.9,13.4,16.8,0.505,0.016,0.415,5.0,7.9,6.4,15.5,2.6,0.2,12.1,32.2,0.1,1.2,1.3,0.05,0.1,-0.2,-0.1,0.6
dantlad01,Adrian Dantley,SF,32,DET,69,31.1,6.4,12.5,0.514,0.0,0.0,0.0,6.4,12.5,0.516,0.514,7.1,8.3,0.0,1.2,2.1,3.3,2.5,0.6,0.1,2.0,2.1,20.0,19.9,0.619,0.002,0.663,4.5,7.3,5.9,11.9,0.9,0.3,10.8,24.2,7.5,1.9,9.4,0.21,3.7,-0.2,3.5,2.9
daughbr01,Brad Daugherty,C,22,CLE,79,37.4,7.0,13.7,0.51,0.0,0.0,0.0,7.0,13.7,0.511,0.51,4.8,6.7,0.0,1.9,6.5,8.4,4.2,0.6,0.7,3.4,3.0,18.7,16.2,0.563,0.002,0.488,6.2,19.9,13.2,17.3,0.8,1.1,16.9,22.8,3.0,3.6,6.6,0.107,0.7,-0.1,0.5,1.9
davisbr01,Brad Davis,PG,32,DAL,75,19.7,2.8,5.5,0.501,0.4,1.0,0.405,2.4,4.5,0.522,0.537,1.2,1.4,0.405,0.2,1.1,1.4,4.0,0.7,0.2,1.2,2.0,7.2,14.5,0.581,0.178,0.26,1.3,6.1,3.7,28.3,1.7,0.7,16.4,15.5,2.9,1.1,4.0,0.13,0.6,0.3,0.8,1.1
daviswa03,Walter Davis,SF,33,PHO,68,28.7,7.2,15.2,0.473,0.5,1.4,0.375,6.6,13.8,0.483,0.491,3.0,3.4,0.375,0.5,1.9,2.3,4.1,1.3,0.0,1.9,1.9,17.9,17.8,0.537,0.093,0.224,1.8,7.4,4.6,21.9,2.1,0.1,10.0,26.3,3.0,0.9,3.8,0.094,1.8,-1.2,0.6,1.3
dawkijo01,Johnny Dawkins,PG,24,SAS,65,33.5,6.2,12.8,0.485,0.3,0.9,0.311,5.9,11.9,0.499,0.496,3.0,3.4,0.311,1.0,2.1,3.1,7.4,1.4,0.0,2.4,1.5,15.8,17.0,0.551,0.073,0.265,3.2,6.9,5.1,29.4,1.9,0.1,14.2,19.7,4.0,0.3,4.3,0.095,1.9,-1.9,0.0,1.1
dayeda01,Darren Daye,SF,27,BOS,47,13.9,2.4,4.6,0.516,0.0,0.0,0.0,2.4,4.6,0.519,0.516,1.3,1.9,0.0,0.6,1.0,1.6,1.5,0.6,0.1,0.9,1.4,6.0,13.6,0.554,0.005,0.401,5.8,7.8,6.9,14.7,2.2,0.4,14.7,19.6,0.7,0.5,1.2,0.086,-0.5,0.0,-0.4,0.2
donalja01,James Donaldson,C,30,DAL,81,31.1,2.6,4.7,0.558,0.0,0.0,0.0,2.6,4.7,0.558,0.558,1.8,2.3,0.0,3.0,6.3,9.3,0.8,0.5,1.3,1.4,2.2,7.0,12.4,0.616,0.0,0.497,10.8,21.5,16.3,3.4,0.8,2.4,19.6,9.4,3.0,3.3,6.2,0.119,-0.4,0.4,0.0,1.3
